city_state,city,state,climate_region,lat,lon,num_accounts,mgd_sold,bill_type,water_price,req,reb,aridity,rpp
"Akron, OH",Akron,OH,Central,41.0814447,-81.5190053,84437,24.83,DB,28.62,3,1,25.06,88.8
"Allentown, PA",Allentown,PA,Northeast,40.6084305,-75.4901833,33414,10.68,U,34.42,2,0,27.29,100.3
"Amarillo, TX",Amarillo,TX,South,35.2219971,-101.8312969,68979,38.42,IB,23.67,6,2,10.64,93.1
"Asheville, NC",Asheville,NC,Southeast,35.5950581,-82.5514869,52390,12.4,U,53.44,0,1,23.47,93.2
"Atlanta, GA",Atlanta,GA,Southeast,33.7489954,-84.3879824,146000,64.17,IB,57.42,8,3,25.35,95.6
"Augusta, GA",Augusta,GA,Southeast,33.4734978,-82.0105148,70440,34.83,U,31.94,8,2,22.57,89.3
"Austin, TX",Austin,TX,South,30.267153,-97.7430608,211040,132.2,IB,43.84,19,11,16.77,99
"Baltimore, MD",Baltimore,MD,Northeast,39.2903848,-76.6121893,193885,172.5,DB,31.28,0,4,24.95,108
"Boston, MA",Boston,MA,Northeast,42.3600825,-71.0588801,87237,54.65,IB,49.31,5,2,28.16,110.3
"Boulder, CO",Boulder,CO,Southwest,40.0149856,-105.2705456,28458,13.66,IB,57.42,4,6,9.93,109.1
"Bridgeport, CT",Bridgeport,CT,Northeast,41.1865478,-73.1951767,181210,62.12,DB,50.96,2,2,28.02,120.4
"Brownsville, TX",Brownsville,TX,South,25.9017472,-97.4974838,45500,18.76,IB,27.11,0,2,12.08,85
"Charleston, SC",Charleston,SC,Southeast,32.7764749,-79.9310512,106187,47.46,DB,23.4,4,1,23.71,96.3
"Charlotte, NC",Charlotte,NC,Southeast,35.2270869,-80.8431267,245854,84.59,IB,38.43,0,1,23.1,93.6
"Charlottesville, VA",Charlottesville,VA,Southeast,38.0293059,-78.4766781,14200,4.55,U,49.56,4,4,24.05,97.8
"Cincinnati, OH",Cincinnati,OH,Central,39.1031182,-84.5120196,237583,103.68,DB,25.19,4,0,25.07,89.8
"Cleveland, OH",Cleveland,OH,Central,41.49932,-81.6943605,401059,139.56,IB,30.79,4,1,25.06,89.1
"College Station, TX",College Station,TX,South,30.627977,-96.3344068,22598,11.35,IB,31.99,12,4,19.14,93.9
"Columbus, GA",Columbus,GA,Southeast,32.4609764,-84.9877094,73387,25.54,IB,19.72,7,2,24.68,89.5
"Columbus, OH",Columbus,OH,Central,39.9611755,-82.9987942,272897,104.7,IB,33.74,0,3,22.7,93.4
"Corpus Christi, TX",Corpus Christi,TX,South,27.8005828,-97.396381,87235,64.25,IB,49.43,9,2,13.66,93.5
"Dallas, TX",Dallas,TX,South,32.7766642,-96.7969879,292623,265.45,IB,29.61,9,2,17.57,100.4
"Denver, CO",Denver,CO,Southwest,39.7392358,-104.990251,229827,168.13,IB,26.01,19,8,9.58,104.7
"Des Moines, IA",Des Moines,IA,East North Central,41.6005448,-93.6091064,79741,41.27,DB,27.24,2,0,21.3,94.9
"Durham, NC",Durham,NC,Southeast,35.9940329,-78.898619,77868,20.43,IB,47.75,9,4,22.96,95.4
"Erie, PA",Erie,PA,Northeast,42.1292241,-80.085059,52410,19.54,DB,35.17,5,0,25.34,92.5
"Eugene, OR",Eugene,OR,Northwest,44.0520691,-123.0867536,51841,23.94,IB,23.83,2,7,25.63,98.2
"Fayetteville, NC",Fayetteville,NC,Southeast,35.0526641,-78.8783585,87296,21.12,IB,34.07,6,3,24.03,91.5
"Fort Collins, CO",Fort Collins,CO,Southwest,40.5852602,-105.084423,32922,20.25,IB,33.45,9,8,9.67,101.4
"Gainesville, FL",Gainesville,FL,Southeast,29.6516344,-82.3248262,69496,21.12,IB,27.28,10,1,23.42,95.2
"Greensboro, NC",Greensboro,NC,Southeast,36.0726354,-79.7919754,100997,28.67,IB,34.07,2,3,23.89,90.3
"Houston, TX",Houston,TX,South,29.7604267,-95.3698028,434501,578,IB,34.29,2,1,23.89,100.3
"Jacksonville, FL",Jacksonville,FL,Southeast,30.3321838,-81.655651,305076,100.95,IB,24.44,10,2,24.06,96
"Kalamazoo, MI",Kalamazoo,MI,East North Central,42.2917069,-85.5872286,46569,16.35,U,13.18,3,6,21.85,92.5
"Kennewick, WA",Kennewick,WA,Northwest,46.2112458,-119.1372338,21163,10.07,U,22.01,1,3,4.2,98.1
"Knoxville, TN",Knoxville,TN,Central,35.9606384,-83.9207392,76323,23.62,IB,35.96,0,2,27.97,90.5
"Lafayette, LA",Lafayette,LA,South,30.2240897,-92.0198427,51576,19.53,U,15.92,2,1,28.41,89.1
"Lakeland, FL",Lakeland,FL,Southeast,28.0394654,-81.9498042,53131,20.45,IB,23.13,12,3,22.59,93.3
"Lancaster, PA",Lancaster,PA,Northeast,40.0378755,-76.3055144,45632,15.86,DB,30.08,4,3,26.07,98.4
"Lansing, MI",Lansing,MI,East North Central,42.732535,-84.5555347,50963,19.99,U,29.12,0,1,20.84,93.9
"Las Vegas, NV",Las Vegas,NV,West,36.1699412,-115.1398296,349107,290.04,IB,28.63,18,7,2.3,98.7
"Lincoln, NE",Lincoln,NE,West North Central,40.8257625,-96.6851982,77973,30.69,IB,22.27,4,2,18.07,92.9
"Little Rock, AR",Little Rock,AR,South,34.7464809,-92.2895948,122712,46.04,U,19.81,2,0,25.53,90.7
"Los Angeles, CA",Los Angeles,CA,West,34.0522342,-118.2436849,678247,448.32,IB,44.31,23,13,10.75,117
"Louisville, KY",Louisville,KY,Central,38.2526647,-85.7584557,277245,98.07,IB,30.95,2,1,24.29,91.4
"Miami, FL",Miami,FL,Southeast,25.7616798,-80.1917902,417997,236.33,IB,26.19,14,8,24.42,105.9
"Milwaukee, WI",Milwaukee,WI,East North Central,43.0389025,-87.9064736,162682,91,DB,21.47,2,0,20.58,95.9
"Minneapolis, MN",Minneapolis,MN,East North Central,44.977753,-93.2650108,102506,48.68,U,37,0,0,19.46,102.6
"Nashville, TN",Nashville,TN,Central,36.1626638,-86.7816016,175120,65.26,U,24.78,4,1,27.07,93.9
"New Orleans, LA",New Orleans,LA,South,29.9510658,-90.0715323,120197,36.65,IB,36.81,2,0,29.86,96
"New York, NY",New York,NY,Northeast,40.7127837,-74.0059413,835060,892.58,U,33.42,19,2,26.21,122.3
"Ocala, FL",Ocala,FL,Southeast,29.1871986,-82.1400923,25002,10.4,U,20.58,7,4,20.39,90.8
"Oklahoma City, OK",Oklahoma City,OK,South,35.4675602,-97.5164276,186415,81.25,U,27.65,6,1,17.75,92.4
"Orlando, FL",Orlando,FL,Southeast,28.5383355,-81.3792365,119485,59.25,IB,19.02,13,7,20.61,97.8
"Pensacola, FL",Pensacola,FL,Southeast,30.421309,-87.2169149,94656,28.78,U,24.67,0,0,32.67,93.5
"Philadelphia, PA",Philadelphia,PA,Northeast,39.9525839,-75.1652215,476303,172.4,DB,37.11,2,1,24.38,107.2
"Phoenix, AZ",Phoenix,AZ,Southwest,33.4483771,-112.0740373,402928,256.93,IB,23.81,6,1,3.71,97.7
"Pittsburgh, PA",Pittsburgh,PA,Northeast,40.4406248,-79.9958864,5423,1.52,DB,68.54,4,0,21.52,94.8
"Portland, OR",Portland,OR,Northwest,45.5230622,-122.6764816,183322,96.44,U,36.66,0,5,25.35,101.3
"Providence, RI",Providence,RI,Northeast,41.8239891,-71.4128343,71816,54.84,U,37.01,4,4,26.81,99
"Provo, UT",Provo,UT,Southwest,40.2338438,-111.6585337,18629,20.42,U,11.6,4,4,6.09,97.3
"Raleigh, NC",Raleigh,NC,Southeast,35.7795897,-78.6381787,164573,42.01,U,33.97,12,4,22.96,95.9
"Reno, NV",Reno,NV,West,39.5296329,-119.8138027,89353,49.73,IB,35.16,9,4,5.07,99.1
"Richmond, VA",Richmond,VA,Southeast,37.5407246,-77.4360481,61711,52.77,DB,36.91,0,0,23.46,96.2
"Riverside, CA",Riverside,CA,West,33.9533487,-117.3961564,64064,60.91,IB,25.88,15,13,5.46,105.9
"Rockford, IL",Rockford,IL,Central,42.2711311,-89.0939952,53030,15.59,DB,31.37,4,0,21.54,91.3
"Sacramento, CA",Sacramento,CA,West,38.5815719,-121.4943996,133073,122.73,U,23.75,11,8,11.12,102.5
"Salt Lake City, UT",Salt Lake City,UT,Southwest,40.7607793,-111.8910474,90976,67.13,IB,18,18,2,15.22,99.7
"San Antonio, TX",San Antonio,TX,South,29.4241219,-98.4936282,350859,151.49,IB,34.72,19,8,13.88,94.4
"San Diego, CA",San Diego,CA,West,32.715738,-117.1610838,270872,163.16,IB,48.93,19,15,8.79,115.9
"Santa Cruz, CA",Santa Cruz,CA,West,36.9741171,-122.0307963,24228,9.07,IB,71.1,20,11,8,121.8
"Seattle, WA",Seattle,WA,Northwest,47.6062095,-122.3320708,188124,129.5,U,54.56,2,9,23.35,107.8
"Sioux Falls, SD",Sioux Falls,SD,West North Central,43.5445959,-96.7311034,47823,18.49,IB,34.17,16,4,16.35,92.8
"Springfield, MA",Springfield,MA,Northeast,42.1014831,-72.589811,42710,30.17,U,26.74,5,0,29.06,96.8
"St Louis, MO",St Louis,MO,Central,38.6270025,-90.1994042,93703,126.64,U,26.06,2,0,22.01,90.5
"Toledo, OH",Toledo,OH,Central,41.6639383,-83.555212,133361,52.95,DB,16.83,4,0,20.69,89.6
"Tucson, AZ",Tucson,AZ,Southwest,32.2217429,-110.926479,229310,105.73,IB,38.18,7,4,6.49,97.1
"Tulsa, OK",Tulsa,OK,South,36.1539816,-95.992775,142834,103.2,U,24.58,4,0,21.57,91.3
"Virginia Beach, VA",Virginia Beach,VA,Southeast,36.8529263,-75.977985,131367,30.96,U,40.9,6,2,24.69,98.4
"Washington, DC",Washington,DC,Southeast,38.9071923,-77.0368707,120902,80.39,U,32.13,8,1,23.01,119.4
"Wichita, KS",Wichita,KS,South,37.6871761,-97.330053,146941,47.44,IB,37.16,2,8,17.87,91
"Winston, NC",Winston,NC,Southeast,36.0998596,-80.244216,121095,32.76,IB,26.68,0,3,24.1,90
"Yakima, WA",Yakima,WA,Northwest,46.6020711,-120.5058987,18706,9.09,U,28.65,4,0,7.53,95